mSec,N-M,Degrees,Degrees,Deg/Sec
7800,32.3,195,60,0
7810,32.3,195,60,0
7820,32.3,195,60,0
7830,32.1,195,60,0
7840,32.3,195,60,0
7850,32.3,195,60,0
7860,32.1,195,60,0
7870,32.3,195,60,0
7880,32.4,195,60,0
7890,32.4,195,60,0
7900,32.4,195,60,0
7910,32.4,195,60,0
7920,32.3,195,60,0
7930,32.1,195,60,0
7940,32.1,195,60,0
7950,32,195,60,0
7960,32.1,195,60,0
7970,32.1,195,60,0
7980,32.3,195,60,0
7990,32.4,195,60,0
8000,32.4,195,60,0
8010,32.4,195,60,0
8020,32.4,195,60,0
8030,32.4,195,60,0
8040,32.1,195,60,0
8050,32.1,195,60,0
8060,32.1,195,60,0
8070,32.3,195,60,0
8080,32.3,195,60,0
8090,32.4,195,60,0
8100,32.4,195,60,0
8110,32.4,195,60,0
8120,32.4,195,60,0
8130,32.3,195,60,0
8140,32.3,195,60,0
8150,32.1,195,60,0
8160,32.1,195,60,0
8170,32.1,195,60,0
8180,32.3,195,60,0
8190,32.4,195,60,0
8200,32.5,195,60,0
8210,32.5,195,60,0
8220,32.5,195,60,0
8230,32.5,195,60,0
8240,32.5,195,60,0
8250,32.4,195,60,0
8260,32.4,195,60,0
8270,32.4,195,60,0
8280,32.4,195,60,0
8290,32.5,195,60,0
8300,32.5,195,60,0
8310,32.7,195,60,0
8320,32.8,195,60,0
8330,32.8,195,60,0
8340,32.8,195,60,0
8350,32.5,195,60,0
8360,32.4,195,60,0
8370,32.4,195,60,0
8380,32.4,195,60,0
8390,32.4,195,60,0
8400,32.4,195,60,0
8410,32.5,195,60,0
8420,32.7,195,60,0
8430,32.8,195,60,0
8440,32.8,195,60,0
8450,32.8,195,60,0
8460,32.7,195,60,0
8470,32.7,195,60,0
8480,32.7,195,60,0
8490,32.5,195,60,0
8500,32.5,195,60,0
8510,32.5,195,60,0
8520,32.7,195,60,0
8530,32.7,195,60,0
8540,32.7,195,60,0
8550,32.5,195,60,0
8560,32.5,195,60,0
8570,32.5,195,60,0
8580,32.4,195,60,0
8590,32.4,195,60,0
8600,32.3,195,60,0
8610,32.3,195,60,0
8620,32.3,195,60,0
8630,32.3,195,60,0
8640,32.3,195,60,0
8650,32.1,195,60,0
8660,32.1,195,60,0
8670,32.1,195,60,0
8680,32,195,60,0
8690,31.9,195,60,0
8700,31.9,195,60,0
8710,32,195,60,0
8720,32,195,60,0
8730,32,195,60,0
8740,32,195,60,0
8750,32.1,195,60,0
8760,32,195,60,0
8770,31.9,195,60,0
8780,31.9,195,60,0
8790,31.9,195,60,0
8800,31.7,195,60,0
8810,31.7,195,60,0
8820,32,195,60,0
8830,32,195,60,0
8840,32,195,60,0
8850,32.1,195,60,0
8860,32.1,195,60,0
8870,32,195,60,0
8880,32,195,60,0
8890,32,195,60,0
8900,32,195,60,0
8910,32,195,60,0
8920,32,195,60,0
8930,32,195,60,0
8940,32,195,60,0
8950,32,195,60,0
8960,32,195,60,0
8970,31.9,195,60,0
8980,31.9,195,60,0
8990,31.7,195,60,0
9000,31.7,195,60,0
9010,31.9,195,60,0
9020,31.9,195,60,0
9030,31.9,195,60,0
9040,32,195,60,0
9050,32,195,60,0
9060,31.9,195,60,0
9070,31.9,195,60,0
9080,31.7,195,60,0
9090,31.7,195,60,0
9100,31.6,195,60,0
9110,31.6,195,60,0
9120,31.7,195,60,0
9130,31.9,195,60,0
9140,31.7,195,60,0
9150,31.7,195,60,0
9160,31.7,195,60,0
9170,31.6,195,60,0
9180,31.5,195,60,0
9190,31.3,195,60,0
9200,31.2,195,60,0
9210,31.3,195,60,0
9220,31.3,195,60,0
9230,31.5,195,60,0
9240,31.5,195,60,0
9250,31.5,195,60,0
9260,31.5,195,60,0
9270,31.5,195,60,0
9280,31.3,195,60,0
9290,31.3,195,60,0
9300,31.3,195,60,0
9310,31.2,195,60,0
9320,31.2,195,60,0
9330,31.3,195,60,0
9340,31.5,195,60,0
9350,31.5,195,60,0
9360,31.5,195,60,0
9370,31.5,195,60,0
9380,31.5,195,60,0
9390,31.3,195,60,0
9400,31.3,195,60,0
9410,31.3,195,60,0
9420,31.5,195,60,0
9430,31.5,195,60,0
9440,31.6,195,60,0
9450,31.6,195,60,0
9460,31.6,195,60,0
9470,31.5,195,60,0
9480,31.3,195,60,0
9490,31.3,195,60,0
9500,31.2,195,60,0
9510,31.2,195,60,0
9520,31.1,195,60,0
9530,31.2,195,60,0
9540,31.3,195,60,0
9550,31.5,195,60,0
9560,31.5,195,60,0
9570,31.5,195,60,0
9580,31.5,195,60,0
9590,31.5,195,60,0
9600,31.3,195,60,0
9610,31.3,195,60,0
9620,31.3,195,60,0
9630,31.3,195,60,0
9640,31.3,195,60,0
9650,31.6,195,60,0
9660,31.6,195,60,0
9670,31.7,195,60,0
9680,31.7,195,60,0
9690,31.7,195,60,0
9700,31.7,195,60,0
9710,31.7,195,60,0
9720,31.7,195,60,0
9730,31.7,195,60,0.2
9740,31.7,195,60,-0.2
9750,31.7,195,60,0
9760,31.6,195,60,0
9770,31.6,195,60,0
9780,31.7,195,60,0
9790,31.7,195,60,0
9800,31.7,195,60,0
